Column1;Column2
gruditi;grudzić
grupa;grupa
gruzъ;gruz
grъtanь;krtań
gryzti;gryźć
gubiti;gubić
gumьno;gumno
gъbnǫti;giąć
gъdьliti;gidlić
gъlkъ;zgiełk
gъnati;gnać
gъpanъ;pan
gъrbatъ;garbaty
gъrbъ;garb
gъrdlo;gardło
gъrstь;garść
gvězda;gwiazda
gvozdь;gwóźdź
gvozdъ;gozd
gybati;gibać
gybъkъ;gibki
gynǫti;ginąć
gyža;gira
i;i
ica;ica
ikъ;ik
ina;ina
inъ;iny
isko;isko
iskrьňь;skierny
išče;iszcze
iťь;ic
ivo;iwo
ьba;ba
ьca;ca
ьce;ce
ьcь;ec
ьje;e
ьjь;i
ьnъ;ny
ьskъ;ski
ьstvo;stwo
jako;jak
jakъ;jaki
jalovъ;jałowy
jama;jama
jamo;jamo
jarь;jarz
jaro;jaro
jaroslavъ;jarosław
jarъ;jary
jasli;jasła
jazъ;ja
jazva;jaźwa
jebati;jebać
jedъva;ledwo
jegъda;jegdy
jesenь;jesień
jevinъ;jewnia
jěti;jał
jěxati;jechać
jęčьmy;jęczmień
jistъ;ist
jь;i
jь;je
jьgo;igo
jьgra;gra
jьgračь;gracz
jьgrati;grać
jьgrьcь;igrzec
jьgъla;igła
jьkriti;ikrzyć
jьlъ;ił
jьmati;imać
jьmenovati;mianować
jьměti;mieć
jьmę;imię
jьnako;inaczej
jьnogъda;inegdy
jьnъ;inny
jьnъde;indziej
jьskati;iskać
jьskra;jaskra
jьskriti;iskrzyć
jьstъba;izba
jьti;iść
jьva;iwa
jьverъ;wiór
jьvьlga;wilga
jьz;z
jьzbyti;zbyć
jьzęslavъ;izasław
jьzuti;zuć
jugъ;jug
junьcь;juniec
junoxъ;junoch
junъ;junak
juxa;jucha
juže;już
kadidlьnica;kadzielnica
kadidlo;kadzidło
kaditi;kadzić
kadь;kadź
kajati;kajać
kakati;kakać
kako;kako
kakъ;kaki
kalina;kalina
kaliti;kalić
kalъ;kał
kamo;kamo
kamy;kamień
kaňa;kania
kapati;kapać
kara;kara
karasь;karaś
karati;karać
kasati;kasać
kaša;kasza
kašьľati;kaszleć
kašьľь;kaszel
kati;kać
kavъka;kawka
kazati;kazać
kaziti;kazić
kaznь;kaźń
klamati;kłamać
klasti;kłaść
klenь;kleń
klenъ;klon
klepati;klepać
klěšča;kleszcze
klětь;kleć
klětъka;klatka
klęčati;klęczeć
klęti;kląć
klętva;klątwa
klinъ;klin
kloniti;kłonić
klonъ;kłon
klǫbъ;kłąb
kľučiti;kluczyć
kľučь;klucz
kľuka;kluka
kľusę;klusię
kľuti;klwać
kobьcь;kobiec
kobyla;kobyła
kogъda;kiedy
kojiti;koić
kokošь;kokosz
kokotъ;kogut
kolačь;kołacz
kolda;kłoda
kolěja;kolej
kolěno;kolano
kolęda;kolęda
koliko;kilka
kolo;koło
kolovortъ;kołowrót
kolovozъ;kołowoz
